instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Junior,BCCF,22994,2489.11,3
Qatar,Junior,BCCF,67849,8846.63,12
Uruguay,Junior,BCCF,1059540,41832.61,45
Western Sahara,Junior,BCCF,83656,14066.81,2
Zimbabwe,Junior,BCCF,1195401,40065.76,57
