instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Junior,BCGα,10250,217.14,2
Qatar,Junior,BCGα,32890,265.26,12
Uruguay,Junior,BCGα,684122,3961.08,44
Western Sahara,Junior,BCGα,39186,696.05,2
Zimbabwe,Junior,BCGα,749835,5215.36,56
