instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Junior,BT2opt,7075,0.2,2.29
Qatar,Junior,BT2opt,23435,15512.32,11.84
Uruguay,Junior,BT2opt,1378800,110271.86,48.01
Western Sahara,Junior,BT2opt,27750,0.1,1.75
Zimbabwe,Junior,BT2opt,2140548,95884.36,61.18
