instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Junior,BTA,20036,502.37,2
Qatar,Junior,BTA,80098,867.84,12
Uruguay,Junior,BTA,1539188,7627.32,44
Western Sahara,Junior,BTA,68635,2163.97,2
Zimbabwe,Junior,BTA,2217142,15999.37,56
